Brand,Model,Year,Price,Trim,Brand_Tier,Image_Paths,Transmission,Fuel_Type,Body_Type,Engine_Capacity,Horsepower,Torque,Max_Speed,Acceleration,Width,Length,Height,Wheelbase,Seats,Cylinders,Fuel_Tank,Number_of_Gears,Fuel_Consumption,Electric_Fuel Consumption,Max_Electric_Driving_Range,Drivetrain
Alfa Romeo,Giulia,2025,2749000,Sprint,2,images\Alfa Romeo Giulia 2025\car_img_1.jpg; images\Alfa Romeo Giulia 2025\car_img_2.jpg; images\Alfa Romeo Giulia 2025\car_img_3.jpg; images\Alfa Romeo Giulia 2025\car_img_4.jpg; images\Alfa Romeo Giulia 2025\car_img_5.jpg; images\Alfa Romeo Giulia 2025\car_img_6.jpg; images\Alpha_Romeo_Giulia_sprint_56045\img_1.jpg; images\Alpha_Romeo_Giulia_sprint_56045\img_2.jpg; images\Alpha_Romeo_Giulia_sprint_56045\img_3.jpg; images\Alpha_Romeo_Giulia_sprint_56045\img_4.png; images\Alpha_Romeo_Giulia_sprint_56045\img_5.jpg; images\Alpha_Romeo_Giulia_sprint_56045\img_6.jpg; images\Alpha_Romeo_Giulia_sprint_56045\img_7.jpg,Automatic,Gas,Sedan,2000,200,330,240,4.7,"1,873","4,639","1,426",2820,5,4,58,8,6.9,-,-,RWD
Alfa Romeo,Giulia,2025,3149000,Veloce,2,images\Alfa Romeo Giulia 2025\car_img_1.jpg; images\Alfa Romeo Giulia 2025\car_img_2.jpg; images\Alfa Romeo Giulia 2025\car_img_3.jpg; images\Alfa Romeo Giulia 2025\car_img_4.jpg; images\Alfa Romeo Giulia 2025\car_img_5.jpg; images\Alfa Romeo Giulia 2025\car_img_6.jpg; images\Alpha_Romeo_Giulia_Veloce_60241\img_1.jpg; images\Alpha_Romeo_Giulia_Veloce_60241\img_2.jpg; images\Alpha_Romeo_Giulia_Veloce_60241\img_3.jpg; images\Alpha_Romeo_Giulia_Veloce_60241\img_4.jpg; images\Alpha_Romeo_Giulia_Veloce_60241\img_5.jpg; images\Alpha_Romeo_Giulia_Veloce_60241\img_6.png; images\Alpha_Romeo_Giulia_Veloce_60241\img_7.jpg,Automatic,Gas,Sedan,2000,200,330,240,4.7,"1,873","4,639","1,426",2820,5,4,58,8,6.9,-,-,AWD
Alfa Romeo,Stelvio,2025,3325000,Sprint,2,images\Alfa Romeo Stelvio 2025\car_img_1.jpg; images\Alfa Romeo Stelvio 2025\car_img_2.jpg; images\Alfa Romeo Stelvio 2025\car_img_3.jpg; images\Alfa Romeo Stelvio 2025\car_img_4.jpg; images\Alfa Romeo Stelvio 2025\car_img_5.jpg; images\Alfa Romeo Stelvio 2025\car_img_6.jpg; images\Alpha_Romeo_Stelvio_Sprint_64328\img_1.jpg; images\Alpha_Romeo_Stelvio_Sprint_64328\img_2.jpg; images\Alpha_Romeo_Stelvio_Sprint_64328\img_3.jpg; images\Alpha_Romeo_Stelvio_Sprint_64328\img_4.jpg; images\Alpha_Romeo_Stelvio_Sprint_64328\img_5.jpg; images\Alpha_Romeo_Stelvio_Sprint_64328\img_6.jpg; images\Alpha_Romeo_Stelvio_Sprint_64328\img_7.jpg; images\Alpha_Romeo_Stelvio_Sprint_64328\img_8.jpg,Automatic,Gas,SUV,2000,280,400,232,6.7,"1,903","4,693","1,684",2818,5,4,64,8,7,-,-,AWD
Alfa Romeo,Stelvio,2025,3550000,Veloce,2,images\Alfa Romeo Stelvio 2025\car_img_1.jpg; images\Alfa Romeo Stelvio 2025\car_img_2.jpg; images\Alfa Romeo Stelvio 2025\car_img_3.jpg; images\Alfa Romeo Stelvio 2025\car_img_4.jpg; images\Alfa Romeo Stelvio 2025\car_img_5.jpg; images\Alfa Romeo Stelvio 2025\car_img_6.jpg; images\Alfa Romeo Stelvio 2025\car_img_7.jpg; images\Alfa Romeo Stelvio 2025\car_img_8.jpg; images\Alfa Romeo Stelvio 2025\car_img_9.jpg; images\Alfa Romeo Stelvio 2025\car_img_10.jpg; images\Alfa Romeo Stelvio 2025\car_img_11.jpg; images\Alpha_Romeo_Stelvio_Veloce_43217\img_1.jpg; images\Alpha_Romeo_Stelvio_Veloce_43217\img_2.jpg; images\Alpha_Romeo_Stelvio_Veloce_43217\img_3.jpg; images\Alpha_Romeo_Stelvio_Veloce_43217\img_4.jpg; images\Alpha_Romeo_Stelvio_Veloce_43217\img_5.jpg; images\Alpha_Romeo_Stelvio_Veloce_43217\img_6.jpg; images\Alpha_Romeo_Stelvio_Veloce_43217\img_7.jpg; images\Alpha_Romeo_Stelvio_Veloce_43217\img_8.jpg,Automatic,Gas,SUV,2000,280,400,232,6.7,"1,903","4,693","1,684",2818,5,4,64,8,7,-,-,AWD
Alfa Romeo,Stelvio,2026,3390000,Sprint,2,images\Alpha_Romeo_Stelvio_Sprint_49162\img_1.jpg; images\Alpha_Romeo_Stelvio_Sprint_49162\img_2.jpg; images\Alpha_Romeo_Stelvio_Sprint_49162\img_3.jpg; images\Alpha_Romeo_Stelvio_Sprint_49162\img_4.jpg; images\Alpha_Romeo_Stelvio_Sprint_49162\img_5.jpg; images\Alpha_Romeo_Stelvio_Sprint_49162\img_6.jpg; images\Alpha_Romeo_Stelvio_Sprint_49162\img_7.jpg; images\Alpha_Romeo_Stelvio_Sprint_49162\img_8.jpg,Automatic,Gas,SUV,2000,280,400,232,6.7,"1,903","4,693","1,684",2818,5,4,64,8,7,-,-,AWD
Alfa Romeo,Stelvio,2026,3650000,Veloce,2,images\Alpha_Romeo_Stelvio_Veloce_54156\img_1.jpg; images\Alpha_Romeo_Stelvio_Veloce_54156\img_2.jpg; images\Alpha_Romeo_Stelvio_Veloce_54156\img_3.jpg; images\Alpha_Romeo_Stelvio_Veloce_54156\img_4.jpg; images\Alpha_Romeo_Stelvio_Veloce_54156\img_5.jpg; images\Alpha_Romeo_Stelvio_Veloce_54156\img_6.jpg; images\Alpha_Romeo_Stelvio_Veloce_54156\img_7.jpg; images\Alpha_Romeo_Stelvio_Veloce_54156\img_8.jpg,Automatic,Gas,SUV,2000,280,400,232,6.7,"1,903","4,693","1,684",2818,5,4,64,8,7,-,-,AWD
Alfa Romeo,Tonale,2024,2690000,Ti,2,images\Alpha_Romeo_Tonale_TI_59619\img_1.png; images\Alpha_Romeo_Tonale_TI_59619\img_2.jpg; images\Alpha_Romeo_Tonale_TI_59619\img_3.jpg; images\Alpha_Romeo_Tonale_TI_59619\img_4.jpg; images\Alpha_Romeo_Tonale_TI_59619\img_5.jpg; images\Alpha_Romeo_Tonale_TI_59619\img_6.jpg; images\Alpha_Romeo_Tonale_TI_59619\img_7.png; images\Alpha_Romeo_Tonale_TI_59619\img_8.jpg; images\Alpha_Romeo_Tonale_TI_59619\img_9.png,Automatic,Gas,SUV,2000,256,400,225,8.1,"2,082","4,528","1,693",2636,5,4,55,9,6.5,-,-,AWD
Alfa Romeo,Tonale,2024,2950000,Veloce,2,images\Alpha_Romeo_Tonale_Veloce_65786\img_1.jpg; images\Alpha_Romeo_Tonale_Veloce_65786\img_2.jpg; images\Alpha_Romeo_Tonale_Veloce_65786\img_3.jpg; images\Alpha_Romeo_Tonale_Veloce_65786\img_4.jpg; images\Alpha_Romeo_Tonale_Veloce_65786\img_5.png; images\Alpha_Romeo_Tonale_Veloce_65786\img_6.png; images\Alpha_Romeo_Tonale_Veloce_65786\img_7.png; images\Alpha_Romeo_Tonale_Veloce_65786\img_8.jpg; images\Alpha_Romeo_Tonale_Veloce_65786\img_9.jpg,Automatic,Gas,SUV,2000,256,400,225,8.1,"2,082","4,528","1,693",2636,5,4,55,9,6.5,-,-,AWD
Alfa Romeo,Tonale,2025,2625000,Sprint,2,images\Alfa Romeo Tonale 2025\car_img_1.jpg; images\Alfa Romeo Tonale 2025\car_img_2.jpg; images\Alfa Romeo Tonale 2025\car_img_3.jpg; images\Alfa Romeo Tonale 2025\car_img_4.jpg; images\Alfa Romeo Tonale 2025\car_img_5.jpg; images\Alfa Romeo Tonale 2025\car_img_6.jpg; images\Alpha_Romeo_Tonale_sprint_69482\img_1.png; images\Alpha_Romeo_Tonale_sprint_69482\img_2.jpg; images\Alpha_Romeo_Tonale_sprint_69482\img_3.png; images\Alpha_Romeo_Tonale_sprint_69482\img_4.png,Automatic,Gas,SUV,2000,256,400,225,8.1,"2,082","4,528","1,693",2636,5,4,55,9,6.5,-,-,FWD
Alfa Romeo,Tonale,2025,2825000,Veloce,2,images\Alfa Romeo Tonale 2025\car_img_1.jpg; images\Alfa Romeo Tonale 2025\car_img_2.jpg; images\Alfa Romeo Tonale 2025\car_img_3.jpg; images\Alfa Romeo Tonale 2025\car_img_4.jpg; images\Alfa Romeo Tonale 2025\car_img_5.jpg; images\Alfa Romeo Tonale 2025\car_img_6.jpg; images\Alpha_Romeo_Tonale_Veloce_72216\img_1.png; images\Alpha_Romeo_Tonale_Veloce_72216\img_2.png; images\Alpha_Romeo_Tonale_Veloce_72216\img_3.png; images\Alpha_Romeo_Tonale_Veloce_72216\img_4.jpg,Automatic,Gas,SUV,2000,256,400,225,8.1,"2,082","4,528","1,693",2636,5,4,55,9,6.5,-,-,AWD
